-0:37 | (New member) ありさ: BRO JOE COOL :_viviHeh:
-0:32 | (New member) Khoi Tran: Holy, 50 gift subs! :_viviRabu:
-0:31 | (Member (2 months)) Arkathon: classic Joe Cool
-0:30 | (Member (2 months)) YourPetRock: Big 50 for big Friday :_viviRabu:
-0:29 | (Member (1 month)) Antigono: What a chas
-0:28 | (Member (1 month)) Greg Eval: :_viviHeh:
-0:28 | Gravitea: Geez
-0:28 | (Member (1 month)) MommaAngelCat😺 (Hex'sB-dayTwin): Thank you so much for the 50 GIFTED MEMBIES! Super POGGERS!:_viviPien::_viviRabu::_viviPien::_viviRabu:
-0:17 | (Member (2 months)) Tvanon: coolest joe in town
-0:16 | Keira Yuki: Pog!
-0:14 | (Member (2 months)) Joe Cool: happy big payday friday
-0:14 | Doctor Hades: The drop.
-0:13 | (Member (2 months)) Healbot2000: oh hey, Thanks Joe Cool for the gifted membership
-0:11 | (Member (2 months)) Claymore: :_viviRabu::_viviRabu:
-0:11 | (New member) ありさ: joe cool is goat :_viviRabu:
-0:08 | (Member (1 month)) Miyuna: pog membership drop
-0:08 | (Member (1 month)) Greg Eval: joe cool back at it again:_viviRabu:
-0:05 | (Member (2 months)) Paperbacks_: :_viviRabu::_viviRabu::_viviRabu:
-0:04 | (Member (2 months)) Joe Cool: ah fuck it
-0:04 | (Member (2 months)) Razor: pog
-0:03 | (New member) Abysmal: YOURE ALL GIGACADS
0:04 | (Member (2 months)) CFMG: :_viviRabu:
0:05 | Keira Yuki: Oooooh!
0:06 | (Member (1 month)) Fran.454: wooooo
0:07 | (Member (1 month)) implode: :_viviHeh:
0:10 | (New member) chu2neko [chuniNeko]: :_viviRabu:
0:12 | (Member (2 months)) ghal: VIVIKZ
0:14 | (New member) ありさ: we gotta think of a cool nickname for this man :_viviHeh:
0:17 | (Member (2 months)) Joe Cool: happy BIG friday
0:17 | (Owner) Victoria Brightshield 【NIJISANJI EN】: dont tell everyone else but i think tekken has the better music from the other fgs ive played lol
0:17 | Keira Yuki: Woah!
0:18 | (New member) Raevyn01: :_viviWave::_viviWave:
0:18 | (Member (2 months)) Claymore: :_viviRabu::_viviRabu:
0:18 | (Member (2 months)) Arkathon: wha da heck
0:18 | (Member (2 months)) Paperbacks_: VIVIKZ!
0:21 | (Member (2 months)) Memers: VIVIKZ
