-1:53:39 | (Member (1 month)) Minty Fresh Kyle: :_drip::_drip::_drip:
-1:51:19 | YUKI K: 今日もかわいい！
-1:46:29 | (Member (2 months)) Leafdew: lol lets goooo more rat:_fire::_fire::_fire:
-1:44:13 | (New member) YUKI K: Thanks vivy
-57:46 | LunaRayArclight: lesgo more funny rat game:face-red-heart-shape:
-36:59 | (Member (1 month)) Alexander B: :_love::_love::_love:
-32:54 | (Member (2 months)) Cp3n: :_drip::_drip::_drip:
-29:01 | (Member (2 months)) Song: HI RATS
-28:54 | (Member (2 months)) Song: UWAAAAH:_wide:
-14:25 | (Member (2 months)) Ian G: More Ratopia! :_fire::_fire::_fire:
-6:26 | (Member (2 months)) NightWraithes : whaaaa? More Ratopia? *insert surprised pikachu face*
-6:10 | (Member (2 months)) NightWraithes : lol, Morning Rats :_drip:
-5:33 | yooniee: omg I'm so sleepy but I wanna watch
-3:41 | (Member (2 months)) inekiいねき: :_love::_love:
-3:13 | (New member) Soli: Good morning Rats!
-3:02 | (Member (1 month)) Supdude: Oh sheeet back at it again
-0:52 | (Member (2 months)) Leafdew: here we go again nakarats vs zombie rat :_fire::_fire::_fire:
-0:33 | (Member (2 months)) inekiいねき: Rats fight :_fire:
-0:18 | (Member (2 months)) Leafdew: :_FIGHT::_FIGHT::_FIGHT:
-0:08 | (Member (2 months)) STARLESS2 ⚡️🍡: :_FIGHT::_FIGHT::_FIGHT:
-0:03 | (Member (2 months)) Leafdew: im ready to :_FIGHT::_FIGHT::_FIGHT::_FIGHT:
0:04 | (New member) Mikey: :_FIGHT::_FIGHT:
0:24 | (Member (2 months)) Leafdew: she is here :_SNIFFA::_SNIFFA::_SNIFFA:
0:26 | (Member (2 months)) inekiいねき: :_FIGHT::_FIGHT::_FIGHT:
0:27 | (Member (2 months)) not.💚: HELLO〜:_FIGHT::_FIGHT::_FIGHT:
0:41 | (Member (2 months)) inekiいねき: :_love:
0:41 | (Member (2 months)) Leafdew: :_FIGHT::_FIGHT::_FIGHT:
0:45 | (Member (2 months)) devyx: :_FIGHT::_FIGHT::_FIGHT:
0:50 | (Member (1 month)) Tria: :_FIGHT:
0:54 | (New member) Mikey: im ready for the rats:_FIGHT::_FIGHT:
1:02 | (Member (1 month)) Ashura: :_FIGHT::_FIGHT::_FIGHT:
1:32 | (Member (2 months)) Brendan: :_FIGHT::_FIGHT::_FIGHT:
1:36 | (Member (2 months)) Faramirez: READY TO FIGHT
1:40 | (Member (2 months)) Faramirez: :_FIGHT::_FIGHT::_FIGHT:
1:46 | (Member (1 month)) Alexander B: :_FIGHT::_FIGHT:
1:46 | (New member) Soli: Just vibin' :_eepy:
1:52 | Cheesus: yaaay
