-2:59 | (Member (6 months)) NadiaAAAH: is that a good thing lol? :rolling_on_the_floor_laughing::winking_face:
-2:56 | A_Spoony_Bard : How far in are you Latias? 
-2:56 | (Member (2 months)) imitationflower: @Andy my cat seems to be interested in hunting/playing with bugs so maybe?
-2:48 | (Member (6 months)) blue cherry: I'm so scared
-2:46 | (Member (6 months)) Baron Blackfeather: Wait. You guys don't stomp the roach the moment you see it?
-2:39 | (New member) Latias Latios 🏆 : I just got to Valentines Day
-2:32 | (Member (2 months)) CallmeVex: Do I join this chaos once more :_aiaEVIL:
-2:31 | (Member (6 months)) Isaac: I get the blowtorch bruh
-2:29 | (New member) Latias Latios 🏆 : I have many regrets
-2:23 | (Member (2 months)) Harmony Xx: I’d prob stomp it yeah
-2:23 | (Member (2 months)) imitationflower: oh god
-2:22 | (Member (6 months)) Patrick Connor: Hi Crow!
-2:22 | (Member (6 months)) blue cherry: oh my cat eats the roaches.....
-2:21 | aoi 🐸: yall lost me 
-2:18 | Thanhthuy Doan: oh
-2:09 | (Member (6 months)) Isaac: oh hell nah
-2:08 | (Member (2 months)) Airelle Rune: Crow, the roaches on my side can dodge stomps:_aiaEVIL:
-2:04 | (Member (6 months)) Baron Blackfeather: Hello Patrick
-2:03 | (Member (6 months)) NadiaAAAH: I usually catch and release.
-2:02 | (Member (6 months)) billy joe【dork】: I hope Aia isn't taking a car nap...
-2:01 | (Member (2 months)) imitationflower: are you playing p5r btw latias?
-1:57 | (Member (2 months)) R҉e҉s҉u҉l҉t҉a҉d҉o҉: when i see a smol roach i just go :_aiaSMUG: if it is big and flies:_aiaNYO::_aiaBURN:
-1:56 | (New member) Latias Latios 🏆 : Yes!
-1:50 | (Member (2 months)) imitationflower: yea i personally kill on sight for cockroaches, nasty
-1:48 | (Member (6 months)) Baron Blackfeather: Skill issue Airelle.
-1:47 | (Member (2 months)) CallmeVex: Bro I see a roach and Im gone 
-1:38 | (Member (2 months)) Harmony Xx: LOL
-1:36 | A_Spoony_Bard : you're not going for the massacre are you Latias? 
-1:28 | (Member (6 months)) blue cherry: same as vex:_aiaCRY:
-1:22 | (New member) Latias Latios 🏆 : I have BEEN massacred what do you mean
-1:19 | (Member (6 months)) Kaiser_Devil: Oof Crow
-1:16 | (Member (2 months)) R҉e҉s҉u҉l҉t҉a҉d҉o҉: i once hit a roach witha thin stick when it flew i felt like a samurai ngl
-1:16 | (Member (6 months)) Isaac: blowtorch :fire_extinguisher:
-1:16 | (Member (2 months)) imitationflower: @billy joe【dork】her last tweet was like, over 20 mins ago so she should be awake rn
-1:10 | (Member (2 months)) zXxSladexXz: Looking forward to tonight
-1:03 | (Member (2 months)) CallmeVex: I almost stepped on a roach barefoot twice and almost just passed away on the spot :_aiaCRY:
-0:59 | (Member (6 months)) Isaac: aia doko?
-0:58 | (Member (2 months)) Josh: i stepped out for a bit :_aiaBURN: i see something about blowtorches? i can help!
-0:58 | (Member (6 months)) Patrick Connor: Hi Slade!
-0:56 | (Member (2 months)) imitationflower: Oof
-0:45 | (Member (2 months)) CallmeVex: No Josh not again
-0:44 | (Member (6 months)) Cujo: :cockroach::cockroach::cockroach::cockroach:
-0:40 | (Member (6 months)) blue cherry: oh god no:_aiaEVIL:
-0:36 | (Member (6 months)) billy joe【dork】: Usually there's more lizards or geckos here instead of cockroaches, I just grab them and take them back outside
-0:33 | (New member) Latias Latios 🏆 : It's okay on my NG+ I am being faithful and having one waifu only
-0:19 | (Member (6 months)) NadiaAAAH: even though I hate cockroaches, I don't have it in me to kill them. so I just catch and release and let mother nature do the rest :cockroach:
-0:13 | (Member (6 months)) Kaiser_Devil: You JUST got outta prison D: Wait...wrong person.
-0:11 | (Member (2 months)) Josh: which one Latias? :_aiaSMUG: answer carefully /j
-0:08 | Dani reDux: hello Slade, crow baron and resultado
-0:04 | (Member (6 months)) Cujo: LETS GOOOOOOO 
0:02 | (Member (2 months)) zXxSladexXz: I can't help but feel Josh may have ulterior motives with this one
0:04 | (Member (6 months)) Isaac: screeeeee
0:06 | (Member (2 months)) Josh: "what's up sl0ts! guess who just got outta prison!"
0:11 | (Member (6 months)) Isaac: :_aiaSCRUNKLE::_aiaSCRUNKLE::_aiaSCRUNKLE:
0:12 | (Member (6 months)) blue cherry: in summer my cat just casually brings roaches inside to play with them, and every time it gives me a heart attack
0:14 | (Member (2 months)) Josh: Haia Aia!
0:18 | (Member (2 months)) imitationflower: man i miss 50% off
0:20 | (Member (6 months)) Patrick Connor: Hi Zacelore!
0:21 | (Member (6 months)) billy joe【dork】: :_aiaDORK::_aiaDORK::_aiaDORK:
0:21 | (Member (2 months)) imitationflower: ohh!! haia aia!
0:22 | (Member (6 months)) NadiaAAAH: :_aiaBURN::_aiaBURN::_aiaBURN::_aiaBURN::_aiaBURN:
0:22 | (Member (2 months)) CallmeVex: Here we go :_aiaBURN:
0:27 | (Member (2 months)) Not Seth: :_aiaWOKE::_aiaWOKE::_aiaWOKE:
0:27 | yzabel ♡: hihi!!!
0:28 | (Member (6 months)) Patrick Connor: :_aiaBURN::_aiaBURN::_aiaBURN:
0:28 | (New member) Aidan O: :_aiaBURN::_aiaBURN::_aiaBURN:
0:29 | (Member (6 months)) Cujo: what if the cockroach was the one who tweeted “victory” 
0:30 | Troll-Royce : dume
0:30 | (New member) Latias Latios 🏆 : I don't wanna spoil anyone but I'll just say what their name starts with
